Date,Close/Last,Volume,Open,High,Low,Day
02/26/2020,379.24,8961126,366.31,382,365,0
02/27/2020,371.71,10967700,371.46,391.56,370.6,1
02/28/2020,369.03,11178570,364.21,376.77,356.8,2
03/02/2020,381.05,6997891,373.11,381.36,364.5,3
03/03/2020,368.77,8364623,381.03,393.52,367.4,4
03/04/2020,383.79,5487340,377.77,384.01,370.51,5
03/05/2020,372.78,8746985,381,391.4,368.64,6
03/06/2020,368.97,8147165,367.7,371.31,356.85,7
03/09/2020,346.49,7405458,343.86,357.47,341.72,8
03/10/2020,364.13,7604444,356.43,364.54,347.85,9
03/11/2020,349.92,6058782,358.92,362.98,344.79,10
03/12/2020,315.25,12071590,326.5,335.72,307.32,11
03/13/2020,336.3,9458197,330.51,336.42,307.39,12
03/16/2020,298.84,10559940,306.63,334.35,294.75,13
03/17/2020,319.75,10013910,306.19,322.9,290.25,14
03/18/2020,315.47,12593650,302.4,331.58,300,15
03/19/2020,332.03,10615960,324.33,348.51,316.82,16
03/20/2020,332.83,10853850,342.31,350.49,332,17
03/23/2020,360.27,13449380,347.89,366.11,340.88,18
03/24/2020,357.32,11638680,369.99,372.93,353.03,19
03/25/2020,342.39,8767171,361.02,362,339.17,20
03/26/2020,362.99,7235016,344,363.84,341.73,21
03/27/2020,357.12,7948775,359.09,368.56,353,22
03/30/2020,370.96,8621964,363,377.8,361.17,23
03/31/2020,375.5,9366464,367.93,383.01,366.44,24
04/01/2020,364.08,6672454,376.05,380.23,361.02,25
04/02/2020,370.08,4592477,364.08,370.99,360.06,26
04/03/2020,361.76,4860768,367.47,370.9,357.51,27
04/06/2020,379.96,8183921,365.22,380.29,361.71,28
04/07/2020,372.28,7046438,380,381.33,369.34,29
04/08/2020,371.12,6908879,374.01,378.39,368.31,30
04/09/2020,370.72,7711296,371.06,372.1,363.03,31
04/13/2020,396.72,11692920,371.31,400.51,367.7,32
04/14/2020,413.55,11580980,397.5,417.82,394.85,33
04/15/2020,426.75,13561220,413,434.98,412.25,34
04/16/2020,439.17,16128670,437,449.52,431.61,35
04/17/2020,422.96,12616260,431,432,414.7,36
04/20/2020,437.49,12655820,435.17,444.49,430.56,37
04/21/2020,433.83,23177550,444.77,447,425.6,38
04/22/2020,421.42,21123770,429.73,433,413,39
04/23/2020,426.7,13952330,419.26,438.41,419.26,40
04/24/2020,424.99,8670362,425,427.17,415.88,41
04/27/2020,421.38,6277480,425,429,420.84,42
04/28/2020,403.83,10101230,419.99,421,402.91,43
04/29/2020,411.89,9693137,399.53,415.86,393.6,44
04/30/2020,419.85,7953975,410.31,424.44,408,45
05/01/2020,415.27,8299858,415.1,427.97,411.73,46
05/04/2020,428.15,7799058,417.78,428.54,414.87,47
05/05/2020,424.68,6286293,427.56,431,421.56,48
05/06/2020,434.26,6660737,429.3,439.77,426.39,49
05/07/2020,436.53,5650281,436.89,438.88,430.66,50
05/08/2020,435.55,5054308,434.14,442,433.64,51
05/11/2020,440.52,5486037,436.33,444.89,435.56,52
05/12/2020,431.82,4598211,442,444.17,431.36,53
05/13/2020,438.27,7014563,435.69,447,427.27,54
05/14/2020,441.95,9007467,444.9,452.38,432.82,55
05/15/2020,454.19,7243998,440.7,455,437.51,56
05/18/2020,452.58,7780309,451.16,456.36,443.35,57
05/19/2020,451.04,4810487,453.4,458.97,450.47,58
05/20/2020,447.67,5607257,454.25,455.81,444,59
05/21/2020,436.25,9117325,448.56,448.96,430.25,60
05/22/2020,429.32,5422334,437,439.09,427.18,61
05/26/2020,414.77,7881115,427.77,428.5,413.14,62
05/27/2020,419.89,10446340,410.38,420.02,397.86,63
05/28/2020,413.44,5660160,417.24,422.37,411.5,64
05/29/2020,419.73,5270484,417.46,420.3,411.85,65
06/01/2020,425.92,3748573,418.83,426.72,415.98,66
06/02/2020,427.31,3494801,425.87,427.59,419.46,67
06/03/2020,421.97,4316044,426.95,427.1,418.05,68
06/04/2020,414.33,5410529,422.39,428.71,410.03,69
06/05/2020,419.6,5099561,407.29,420.24,404.25,70
06/08/2020,419.49,5851453,416,420.8,406.5,71
06/09/2020,434.05,6796999,421.65,434.73,420.31,72
06/10/2020,434.48,4896893,436,439.69,430.55,73
06/11/2020,425.56,7462868,428.2,445.57,424.16,74
06/12/2020,418.07,6461127,429,434.06,412.45,75
06/15/2020,425.5,4471499,421.4,426.49,415.42,76
06/16/2020,436.13,5514016,425.76,437.96,425.18,77
06/17/2020,447.77,6529568,441.82,450.46,439.22,78
06/18/2020,449.87,4277627,448.73,452.76,442.8,79
06/19/2020,453.72,5933651,449.12,453.97,445.6,80
06/22/2020,468.04,6272105,455.01,468.59,454.21,81
06/23/2020,466.26,5948436,466.5,474.01,464.5,82
06/24/2020,457.85,4826191,468.54,472.36,454,83
06/25/2020,465.91,4134513,458.86,467.01,454,84
06/26/2020,443.4,6804726,466.39,468.03,442.24,85
06/29/2020,447.24,4843978,445.23,447.67,432.14,86
06/30/2020,455.04,4198545,450.02,457.59,447,87
07/01/2020,485.64,9705870,454,488.23,454,88
07/02/2020,476.89,6351485,485.64,492.28,475.53,89
07/06/2020,493.81,7838990,480.77,499.5,479.8,90
07/07/2020,493.16,5669870,497.31,504.82,490.83,91
07/08/2020,502.78,5691682,498.58,505.1,493.81,92
07/09/2020,507.76,5840541,508.4,510,495.78,93
07/10/2020,548.73,21605590,519.73,555.88,511.28,94
07/13/2020,525.5,18399020,567.98,575.37,520.96,95
07/14/2020,524.88,15083300,517.08,525.5,490.49,96
07/15/2020,523.26,10066650,516.3,529,510.18,97
07/16/2020,527.39,24498990,526.48,535.54,504.36,98
07/17/2020,492.99,24991350,494.87,503.59,484.14,99
07/20/2020,502.41,11940310,489.14,504.5,484.2,100
07/21/2020,490.1,9127218,506,506.22,488.61,101
07/22/2020,489.82,6954078,492.19,497.2,487.2,102
07/23/2020,477.58,7722034,491.13,491.9,472.02,103
07/24/2020,480.45,7746247,468.77,487.17,467.54,104
07/27/2020,495.65,7863069,484.51,496.92,482.31,105
07/28/2020,488.51,5986727,496.02,497.79,487.76,106
07/29/2020,484.48,6611769,492.25,494.92,484.13,107
07/30/2020,485.8,6608569,480.71,488.35,477.51,108
07/31/2020,488.88,5924310,488.29,494.8,484.5,109
08/03/2020,498.62,5876190,490.86,503.09,490.23,110
08/04/2020,509.64,5607968,498.65,510.44,498.65,111
08/05/2020,502.11,4313526,508.68,510.1,501.2,112
08/06/2020,509.08,3725861,504.11,510.82,498.7,113
08/07/2020,494.73,5910348,505.45,508.29,486.68,114
08/10/2020,483.38,4691185,493.35,497.46,478.63,115
08/11/2020,466.93,7329226,479.75,480.92,466.55,116
08/12/2020,475.47,5441243,471.34,482.49,470.18,117
08/13/2020,481.33,3008933,478.4,484.45,476.45,118
08/14/2020,482.68,2943487,482.82,488.33,480.21,119
08/17/2020,482.35,2423545,484.19,486.24,479.1,120
08/18/2020,491.87,3505518,484.35,495.3,482.8,121
08/19/2020,484.53,3156218,493.93,494.5,483.5,122
08/20/2020,497.9,5132480,484.69,498.94,483.89,123
08/21/2020,492.31,3921293,496.46,498.13,490,124
08/24/2020,488.81,4762183,495.44,501,483.16,125
08/25/2020,490.58,5727721,488.19,492.47,485.09,126
08/26/2020,547.53,20373680,492.5,549.04,492.08,127
08/27/2020,526.27,9062912,537.78,541,521.25,128
08/28/2020,523.89,4417517,532,539,522,129
08/31/2020,529.56,4941409,521.16,531.99,517.58,130
09/01/2020,556.55,9581907,532.6,557.39,532.45,131
09/02/2020,552.84,5886930,553.78,556.5,537.37,132
09/03/2020,525.75,9071089,545,554,521.32,133
09/04/2020,516.05,8270118,520.18,527.36,485.98,134
09/08/2020,507.02,5572684,498.4,522,495,135
09/09/2020,500.19,6848127,519.21,520,492.57,136
09/10/2020,480.67,6240181,503.35,506.29,478.84,137
09/11/2020,482.03,5035200,486.49,493.73,476.81,138
09/14/2020,476.26,7359126,480.62,488.99,471.3,139
09/15/2020,495.99,5336992,484,497.47,481.63,140
09/16/2020,483.86,4401412,499.99,504.66,483.31,141
09/17/2020,470.2,5379301,475.16,478.4,463.27,142
09/18/2020,469.96,6717711,472.51,479.4,458.6,143
09/21/2020,487.35,5457539,467.69,487.78,466.32,144
09/22/2020,491.17,3482324,489.01,491.82,479.26,145
09/23/2020,470.61,3726423,491.04,491.04,469,146
09/24/2020,473.08,3727201,470.53,477,467.82,147
09/25/2020,482.88,3769436,474.39,484.87,468.03,148
09/28/2020,490.65,4773497,489.11,492,477.88,149
