YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2017,8,56256,19961,Cargurus.com
2020,5,51884,25500,Cargurus.com
2024,1,954,25566,Cargurus.com
2013,12,152113,8991,Cargurus.com
2016,9,89507,15400,Cargurus.com
2023,2,20398,28481,Cargurus.com
2011,14,182411,10888,Cargurus.com
2010,5,218211,5295,Cargurus.com
2009,15,170480,5499,Cargurus.com
2018,7,94935,17400,Cargurus.com
2024,1,22022,26653,Cargurus.com
2012,13,205486,6995,Cargurus.com
2019,6,70063,19037,Cargurus.com
2015,10,261120,8499,Cargurus.com
