Date,Close/Last,Volume,Open,High,Low
02/24/2025,$988.47,4426227,$1008.00,$1015.17,$984.48
02/21/2025,$1003.15,3738710,$1029.42,$1032.38,$999.39
02/20/2025,$1024.54,3111831,$1042.00,$1045.00,$1015.5941
02/19/2025,$1043.33,2600048,$1035.18,$1044.9999,$1024.51
02/18/2025,$1035.85,4229339,$1060.00,$1062.00,$1023.749
02/14/2025,$1058.60,3145430,$1044.95,$1064.50,$1041.69
02/13/2025,$1043.69,3476068,$1026.625,$1045.9899,$1025.10
02/12/2025,$1027.31,3388966,$1005.49,$1027.74,$998.3473
02/11/2025,$1008.08,3331797,$1020.79,$1022.69,$1002.95
02/10/2025,$1027.60,3296566,$1023.05,$1032.85,$1015.88
02/07/2025,$1013.93,3212853,$1017.00,$1027.76,$1005.6701
02/06/2025,$1015.68,3134293,$1007.87,$1016.35,$1002.61
02/05/2025,$1011.11,3997733,$987.73,$1011.825,$986.68
02/04/2025,$994.87,6000137,$980.47,$1008.00,$978.51
02/03/2025,$978.94,3724197,$973.00,$987.6891,$964.375
01/31/2025,$976.76,3618718,$974.00,$990.2892,$974.00
01/30/2025,$973.24,3867825,$986.75,$994.59,$970.0101
01/29/2025,$978.15,2930728,$980.00,$987.64,$968.2345
01/28/2025,$971.83,3433972,$966.71,$977.934,$957.30
01/27/2025,$971.89,4634204,$971.10,$982.27,$960.26
01/24/2025,$977.59,4550397,$984.41,$986.28,$967.68
